run_id,vin,model_variant,line_entry_time,line_entry_minute,bottleneck_impacted,defect_risk,sensorless_drift_flagged,machine_failure_impacted,flagged_for_inspection,affected_events
RUN-001,VIN-2026000,Sedan,2026-08-01 06:00:06,0.11,False,False,False,False,False,
RUN-001,VIN-2026001,SUV,2026-08-01 06:01:20,1.34,False,False,False,False,False,
RUN-001,VIN-2026002,Sedan,2026-08-01 06:02:34,2.57,False,False,False,False,False,
RUN-001,VIN-2026003,Sedan,2026-08-01 06:04:06,4.1,False,False,False,False,False,
RUN-001,VIN-2026004,EV,2026-08-01 06:05:27,5.45,False,False,False,False,False,
RUN-001,VIN-2026005,Sedan,2026-08-01 06:06:28,6.47,False,False,False,False,False,
RUN-001,VIN-2026006,Sedan,2026-08-01 06:07:54,7.91,False,False,False,False,False,
RUN-001,VIN-2026007,Sedan,2026-08-01 06:09:20,9.35,False,False,False,False,False,
RUN-001,VIN-2026008,Sedan,2026-08-01 06:10:39,10.66,False,False,False,False,False,
RUN-001,VIN-2026009,SUV,2026-08-01 06:11:57,11.96,False,False,False,False,False,
RUN-001,VIN-2026010,Sedan,2026-08-01 06:13:21,13.35,False,False,False,False,False,
RUN-001,VIN-2026011,EV,2026-08-01 06:14:39,14.66,False,False,False,False,False,
RUN-001,VIN-2026012,EV,2026-08-01 06:16:01,16.02,False,False,False,False,False,
RUN-001,VIN-2026013,SUV,2026-08-01 06:17:23,17.4,False,False,False,False,False,
RUN-001,VIN-2026014,Sedan,2026-08-01 06:18:45,18.76,False,False,False,False,False,
RUN-001,VIN-2026015,SUV,2026-08-01 06:20:00,20.02,False,False,False,False,False,
RUN-001,VIN-2026016,Sedan,2026-08-01 06:21:18,21.3,False,False,False,False,False,
RUN-001,VIN-2026017,SUV,2026-08-01 06:22:41,22.69,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026018,Sedan,2026-08-01 06:24:07,24.12,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026019,SUV,2026-08-01 06:25:23,25.39,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026020,Sedan,2026-08-01 06:26:39,26.65,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026021,SUV,2026-08-01 06:28:04,28.07,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026022,EV,2026-08-01 06:29:19,29.32,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026023,Sedan,2026-08-01 06:30:37,30.63,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026024,Sedan,2026-08-01 06:32:11,32.19,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026025,SUV,2026-08-01 06:33:14,33.24,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026026,EV,2026-08-01 06:34:41,34.69,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026027,SUV,2026-08-01 06:35:54,35.91,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026028,EV,2026-08-01 06:37:11,37.19,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026029,EV,2026-08-01 06:38:46,38.78,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026030,Sedan,2026-08-01 06:40:00,40.01,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026031,Sedan,2026-08-01 06:41:12,41.2,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026032,SUV,2026-08-01 06:42:41,42.69,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026033,SUV,2026-08-01 06:44:10,44.18,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026034,Sedan,2026-08-01 06:45:18,45.31,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026035,SUV,2026-08-01 06:46:44,46.74,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026036,SUV,2026-08-01 06:47:51,47.86,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026037,Sedan,2026-08-01 06:49:11,49.19,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026038,SUV,2026-08-01 06:50:36,50.61,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026039,SUV,2026-08-01 06:51:58,51.98,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026040,SUV,2026-08-01 06:53:17,53.3,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026041,Sedan,2026-08-01 06:54:37,54.63,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026042,SUV,2026-08-01 06:55:59,56.0,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026043,SUV,2026-08-01 06:57:20,57.35,False,True,False,False,True,RUN001-EVT01
RUN-001,VIN-2026044,SUV,2026-08-01 06:58:38,58.65,False,False,False,False,False,
RUN-001,VIN-2026045,SUV,2026-08-01 06:59:58,59.98,False,False,False,False,False,
RUN-001,VIN-2026046,Sedan,2026-08-01 07:01:14,61.24,False,False,False,False,False,
RUN-001,VIN-2026047,EV,2026-08-01 07:02:48,62.81,False,False,False,False,False,
RUN-001,VIN-2026048,Sedan,2026-08-01 07:04:04,64.08,False,False,False,False,False,
RUN-001,VIN-2026049,SUV,2026-08-01 07:05:15,65.25,False,False,False,False,False,
RUN-001,VIN-2026050,Sedan,2026-08-01 07:06:42,66.71,False,False,False,False,False,
RUN-001,VIN-2026051,Sedan,2026-08-01 07:08:07,68.12,False,False,False,False,False,
RUN-001,VIN-2026052,Sedan,2026-08-01 07:09:18,69.31,False,False,False,False,False,
RUN-001,VIN-2026053,Sedan,2026-08-01 07:10:47,70.79,False,False,False,False,False,
RUN-001,VIN-2026054,SUV,2026-08-01 07:11:58,71.98,False,False,False,False,False,
RUN-001,VIN-2026055,EV,2026-08-01 07:13:13,73.22,False,False,False,False,False,
RUN-001,VIN-2026056,SUV,2026-08-01 07:14:46,74.78,False,False,False,False,False,
RUN-001,VIN-2026057,EV,2026-08-01 07:16:05,76.1,False,False,False,False,False,
RUN-001,VIN-2026058,Sedan,2026-08-01 07:17:20,77.34,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026059,EV,2026-08-01 07:18:38,78.64,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026060,SUV,2026-08-01 07:20:03,80.05,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026061,Sedan,2026-08-01 07:21:21,81.35,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026062,SUV,2026-08-01 07:22:41,82.68,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026063,EV,2026-08-01 07:23:58,83.98,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026064,SUV,2026-08-01 07:25:12,85.2,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026065,SUV,2026-08-01 07:26:37,86.62,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026066,Sedan,2026-08-01 07:27:53,87.89,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026067,SUV,2026-08-01 07:29:17,89.29,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026068,SUV,2026-08-01 07:30:39,90.66,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026069,EV,2026-08-01 07:32:06,92.1,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026070,Sedan,2026-08-01 07:33:22,93.38,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026071,Sedan,2026-08-01 07:34:34,94.58,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026072,EV,2026-08-01 07:36:04,96.08,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026073,Sedan,2026-08-01 07:37:22,97.38,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026074,Sedan,2026-08-01 07:38:32,98.54,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026075,EV,2026-08-01 07:39:58,99.98,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026076,Sedan,2026-08-01 07:41:20,101.35,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026077,Sedan,2026-08-01 07:42:32,102.54,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026078,Sedan,2026-08-01 07:43:57,103.97,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026079,EV,2026-08-01 07:45:17,105.29,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026080,Sedan,2026-08-01 07:46:45,106.76,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026081,Sedan,2026-08-01 07:48:04,108.07,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026082,Sedan,2026-08-01 07:49:15,109.26,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026083,Sedan,2026-08-01 07:50:36,110.6,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026084,SUV,2026-08-01 07:52:00,112.0,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026085,Sedan,2026-08-01 07:53:10,113.17,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026086,Sedan,2026-08-01 07:54:36,114.61,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026087,Sedan,2026-08-01 07:55:52,115.88,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026088,Sedan,2026-08-01 07:57:23,117.4,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026089,SUV,2026-08-01 07:58:32,118.55,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026090,EV,2026-08-01 07:59:56,119.95,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026091,Sedan,2026-08-01 08:01:09,121.15,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026092,Sedan,2026-08-01 08:02:36,122.61,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026093,SUV,2026-08-01 08:03:50,123.84,True,False,False,False,False,RUN001-EVT02
RUN-001,VIN-2026094,SUV,2026-08-01 08:05:24,125.41,True,False,False,False,False,RUN001-EVT02
